"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	14426	656386	2197.79
	"Large Fringe Metro"	"2"	"80-84 years"	"80-84"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	15380	696174	2209.22
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	18339	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	17769	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	18060	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	15226	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	14808	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"85-89 years"	"85-89"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	15212	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	19944	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	19155	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	19425	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	12295	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	12094	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"90-94 years"	"90-94"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	12360	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	11661	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	11230	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	11624	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	5118	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	4778	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"95-99 years"	"95-99"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	4999	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	2932	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	2894	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	3125	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	802	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	767	Not Applicable	Not Applicable
	"Large Fringe Metro"	"2"	"100+ years"	"100+"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	871	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"25-29 years"	"25-29"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	149	2339588	6.37
	"Medium Metro"	"3"	"25-29 years"	"25-29"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	131	2291375	5.72
	"Medium Metro"	"3"	"25-29 years"	"25-29"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	127	2190449	5.80
	"Medium Metro"	"3"	"25-29 years"	"25-29"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	262	2460822	10.65
	"Medium Metro"	"3"	"25-29 years"	"25-29"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	271	2380771	11.38
	"Medium Metro"	"3"	"25-29 years"	"25-29"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	226	2306418	9.80
	"Medium Metro"	"3"	"30-34 years"	"30-34"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	252	2270027	11.10
	"Medium Metro"	"3"	"30-34 years"	"30-34"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	293	2324634	12.60
	"Medium Metro"	"3"	"30-34 years"	"30-34"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	265	2275403	11.65
	"Medium Metro"	"3"	"30-34 years"	"30-34"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	501	2315181	21.64
	"Medium Metro"	"3"	"30-34 years"	"30-34"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	521	2362706	22.05
	"Medium Metro"	"3"	"30-34 years"	"30-34"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	473	2337840	20.23
	"Medium Metro"	"3"	"35-39 years"	"35-39"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	441	2207411	19.98
	"Medium Metro"	"3"	"35-39 years"	"35-39"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	481	2247620	21.40
	"Medium Metro"	"3"	"35-39 years"	"35-39"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	469	2169673	21.62
	"Medium Metro"	"3"	"35-39 years"	"35-39"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	897	2205396	40.67
	"Medium Metro"	"3"	"35-39 years"	"35-39"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	925	2281070	40.55
	"Medium Metro"	"3"	"35-39 years"	"35-39"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	858	2219679	38.65
	"Medium Metro"	"3"	"40-44 years"	"40-44"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	722	2068353	34.91
	"Medium Metro"	"3"	"40-44 years"	"40-44"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	805	2142574	37.57
	"Medium Metro"	"3"	"40-44 years"	"40-44"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	787	2102069	37.44
	"Medium Metro"	"3"	"40-44 years"	"40-44"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	1465	2036918	71.92
	"Medium Metro"	"3"	"40-44 years"	"40-44"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	1542	2148559	71.77
	"Medium Metro"	"3"	"40-44 years"	"40-44"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	1399	2134346	65.55
	"Medium Metro"	"3"	"45-49 years"	"45-49"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	1159	2045795	56.65
	"Medium Metro"	"3"	"45-49 years"	"45-49"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	1181	2010450	58.74
	"Medium Metro"	"3"	"45-49 years"	"45-49"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	1146	1923245	59.59
	"Medium Metro"	"3"	"45-49 years"	"45-49"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	2395	1984118	120.71
	"Medium Metro"	"3"	"45-49 years"	"45-49"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	2331	1990036	117.13
	"Medium Metro"	"3"	"45-49 years"	"45-49"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	2230	1924838	115.85
	"Medium Metro"	"3"	"50-54 years"	"50-54"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	1873	2105563	88.95
	"Medium Metro"	"3"	"50-54 years"	"50-54"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	1888	2138103	88.30
	"Medium Metro"	"3"	"50-54 years"	"50-54"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	1787	2048468	87.24
	"Medium Metro"	"3"	"50-54 years"	"50-54"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	3960	2029895	195.08
	"Medium Metro"	"3"	"50-54 years"	"50-54"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	4165	2112302	197.18
	"Medium Metro"	"3"	"50-54 years"	"50-54"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	3925	2042321	192.18
	"Medium Metro"	"3"	"55-59 years"	"55-59"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	3032	2305369	131.52
	"Medium Metro"	"3"	"55-59 years"	"55-59"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	2990	2269833	131.73
	"Medium Metro"	"3"	"55-59 years"	"55-59"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	2977	2118174	140.55
	"Medium Metro"	"3"	"55-59 years"	"55-59"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	6519	2151335	303.02
	"Medium Metro"	"3"	"55-59 years"	"55-59"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	6606	2174412	303.81
	"Medium Metro"	"3"	"55-59 years"	"55-59"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	6285	2046879	307.05
	"Medium Metro"	"3"	"60-64 years "	"60-64"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	4529	2292334	197.57
	"Medium Metro"	"3"	"60-64 years "	"60-64"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	4762	2310307	206.12
	"Medium Metro"	"3"	"60-64 years "	"60-64"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	4821	2219110	217.25
	"Medium Metro"	"3"	"60-64 years "	"60-64"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	9586	2084395	459.89
	"Medium Metro"	"3"	"60-64 years "	"60-64"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	9863	2158284	456.98
	"Medium Metro"	"3"	"60-64 years "	"60-64"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	9447	2076653	454.91
	"Medium Metro"	"3"	"65-69 years"	"65-69"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	6074	2054818	295.60
	"Medium Metro"	"3"	"65-69 years"	"65-69"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	6343	2088828	303.66
	"Medium Metro"	"3"	"65-69 years"	"65-69"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	6360	2049265	310.36
	"Medium Metro"	"3"	"65-69 years"	"65-69"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	10868	1804791	602.17
	"Medium Metro"	"3"	"65-69 years"	"65-69"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	11436	1877409	609.14
	"Medium Metro"	"3"	"65-69 years"	"65-69"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	11464	1842716	622.13
	"Medium Metro"	"3"	"70-74 years"	"70-74"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	8033	1729374	464.50
	"Medium Metro"	"3"	"70-74 years"	"70-74"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	8672	1788665	484.83
	"Medium Metro"	"3"	"70-74 years"	"70-74"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	8658	1729624	500.57
	"Medium Metro"	"3"	"70-74 years"	"70-74"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	12249	1499733	816.75
	"Medium Metro"	"3"	"70-74 years"	"70-74"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	13422	1568935	855.48
	"Medium Metro"	"3"	"70-74 years"	"70-74"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	13112	1502759	872.53
	"Medium Metro"	"3"	"75-79 years"	"75-79"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	9906	1206905	820.78
	"Medium Metro"	"3"	"75-79 years"	"75-79"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	10406	1189875	874.55
	"Medium Metro"	"3"	"75-79 years"	"75-79"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	11100	1270058	873.98
	"Medium Metro"	"3"	"75-79 years"	"75-79"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	12972	993187	1306.10
	"Medium Metro"	"3"	"75-79 years"	"75-79"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	13274	995315	1333.65
	"Medium Metro"	"3"	"75-79 years"	"75-79"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	14308	1064724	1343.82
	"Medium Metro"	"3"	"80-84 years"	"80-84"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	12374	801550	1543.76
	"Medium Metro"	"3"	"80-84 years"	"80-84"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	12704	778237	1632.41
	"Medium Metro"	"3"	"80-84 years"	"80-84"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	13258	807466	1641.93
	"Medium Metro"	"3"	"80-84 years"	"80-84"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	13254	603728	2195.36
	"Medium Metro"	"3"	"80-84 years"	"80-84"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	13577	592243	2292.47
	"Medium Metro"	"3"	"80-84 years"	"80-84"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	14203	606022	2343.64
	"Medium Metro"	"3"	"85-89 years"	"85-89"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	16032	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"85-89 years"	"85-89"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	15544	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"85-89 years"	"85-89"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	16363	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"85-89 years"	"85-89"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	13547	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"85-89 years"	"85-89"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	13520	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"85-89 years"	"85-89"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	13874	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"90-94 years"	"90-94"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	16951	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"90-94 years"	"90-94"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	16298	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"90-94 years"	"90-94"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	16505	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"90-94 years"	"90-94"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	10613	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"90-94 years"	"90-94"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	10523	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"90-94 years"	"90-94"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	10669	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"95-99 years"	"95-99"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	9386	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"95-99 years"	"95-99"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	8941	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"95-99 years"	"95-99"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	9486	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"95-99 years"	"95-99"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	4247	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"95-99 years"	"95-99"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	4067	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"95-99 years"	"95-99"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	4192	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	2281	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	2256	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	2355	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	669	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	613	Not Applicable	Not Applicable
	"Medium Metro"	"3"	"100+ years"	"100+"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	688	Not Applicable	Not Applicable
	"Small Metro"	"4"	"25-29 years"	"25-29"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	65	969158	6.71
	"Small Metro"	"4"	"25-29 years"	"25-29"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	60	941563	6.37
	"Small Metro"	"4"	"25-29 years"	"25-29"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	64	923606	6.93
	"Small Metro"	"4"	"25-29 years"	"25-29"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	122	1046102	11.66
	"Small Metro"	"4"	"25-29 years"	"25-29"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	116	1005709	11.53
	"Small Metro"	"4"	"25-29 years"	"25-29"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	107	1002536	10.67
	"Small Metro"	"4"	"30-34 years"	"30-34"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	114	929550	12.26
	"Small Metro"	"4"	"30-34 years"	"30-34"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	142	949822	14.95
	"Small Metro"	"4"	"30-34 years"	"30-34"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	104	955156	10.89
	"Small Metro"	"4"	"30-34 years"	"30-34"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	217	969766	22.38
	"Small Metro"	"4"	"30-34 years"	"30-34"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	235	985772	23.84
	"Small Metro"	"4"	"30-34 years"	"30-34"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	211	1002961	21.04
	"Small Metro"	"4"	"35-39 years"	"35-39"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	201	909477	22.10
	"Small Metro"	"4"	"35-39 years"	"35-39"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	211	921006	22.91
	"Small Metro"	"4"	"35-39 years"	"35-39"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	194	912955	21.25
	"Small Metro"	"4"	"35-39 years"	"35-39"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	384	926577	41.44
	"Small Metro"	"4"	"35-39 years"	"35-39"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	371	952640	38.94
	"Small Metro"	"4"	"35-39 years"	"35-39"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	425	952126	44.64
	"Small Metro"	"4"	"40-44 years"	"40-44"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	347	850505	40.80
	"Small Metro"	"4"	"40-44 years"	"40-44"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	348	882083	39.45
	"Small Metro"	"4"	"40-44 years"	"40-44"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	386	893304	43.21
	"Small Metro"	"4"	"40-44 years"	"40-44"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	652	859168	75.89
	"Small Metro"	"4"	"40-44 years"	"40-44"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	705	904158	77.97
	"Small Metro"	"4"	"40-44 years"	"40-44"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	674	924274	72.92
	"Small Metro"	"4"	"45-49 years"	"45-49"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	557	835308	66.68
	"Small Metro"	"4"	"45-49 years"	"45-49"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	580	818075	70.90
	"Small Metro"	"4"	"45-49 years"	"45-49"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	536	810621	66.12
	"Small Metro"	"4"	"45-49 years"	"45-49"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	1027	826594	124.24
	"Small Metro"	"4"	"45-49 years"	"45-49"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	1102	828005	133.09
	"Small Metro"	"4"	"45-49 years"	"45-49"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	1017	828946	122.69
	"Small Metro"	"4"	"50-54 years"	"50-54"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	885	872836	101.39
	"Small Metro"	"4"	"50-54 years"	"50-54"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	860	882452	97.46
	"Small Metro"	"4"	"50-54 years"	"50-54"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	902	873202	103.30
	"Small Metro"	"4"	"50-54 years"	"50-54"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	1778	851036	208.92
	"Small Metro"	"4"	"50-54 years"	"50-54"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	1892	882759	214.33
	"Small Metro"	"4"	"50-54 years"	"50-54"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	1720	882410	194.92
	"Small Metro"	"4"	"55-59 years"	"55-59"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	1427	990675	144.04
	"Small Metro"	"4"	"55-59 years"	"55-59"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	1459	970137	150.39
	"Small Metro"	"4"	"55-59 years"	"55-59"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	1362	935013	145.67
	"Small Metro"	"4"	"55-59 years"	"55-59"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	3148	933322	337.29
	"Small Metro"	"4"	"55-59 years"	"55-59"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	3101	937266	330.86
	"Small Metro"	"4"	"55-59 years"	"55-59"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	2987	910828	327.94
	"Small Metro"	"4"	"60-64 years "	"60-64"	"Female"	"F"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	2252	1017450	221.34
	"Small Metro"	"4"	"60-64 years "	"60-64"	"Female"	"F"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	2406	1021459	235.55
	"Small Metro"	"4"	"60-64 years "	"60-64"	"Female"	"F"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	2323	1010752	229.83
	"Small Metro"	"4"	"60-64 years "	"60-64"	"Male"	"M"	"2020"	"2020"	"Diseases of the circulatory system"	"I00-I99"	4563	930406	490.43
	"Small Metro"	"4"	"60-64 years "	"60-64"	"Male"	"M"	"2021"	"2021"	"Diseases of the circulatory system"	"I00-I99"	4745	959600	494.48
	"Small Metro"	"4"	"60-64 years "	"60-64"	"Male"	"M"	"2022 "	"2022"	"Diseases of the circulatory system"	"I00-I99"	4610	953714	483.37
