"Notes"	"2013 Urbanization"	"2013 Urbanization Code"	"ICD Chapter"	"ICD Chapter Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2020 "	"2020"	35946	658620	5457.78
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"			355505	6467172	5497.07
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"					968605	18975134	5104.60
"Total"	"Large Central Metro"	"1"	"Diseases of the circulatory system"	"I00-I99"							2450537	729039299	336.13
"Total"	"Large Central Metro"	"1"									2450537	729039299	336.13
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2010"	"2010"	288	4771560	6.04
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2011"	"2011"	283	4834018	5.85
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2012"	"2012"	249	4875170	5.11
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2013"	"2013"	290	4909917	5.91
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2014"	"2014"	270	4984627	5.42
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2015"	"2015"	292	5043447	5.79
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2016"	"2016"	328	5099338	6.43
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2017"	"2017"	362	5179128	6.99
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2018"	"2018"	319	5229539	6.10
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2019"	"2019"	344	5269397	6.53
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"	"2020 "	"2020"	381	5303642	7.18
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Female"	"F"			3406	55499783	6.14
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2010"	"2010"	554	4695689	11.80
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2011"	"2011"	552	4795355	11.51
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2012"	"2012"	552	4851479	11.38
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2013"	"2013"	525	4908989	10.69
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2014"	"2014"	609	4992789	12.20
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2015"	"2015"	605	5065921	11.94
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2016"	"2016"	590	5135023	11.49
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2017"	"2017"	668	5249938	12.72
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2018"	"2018"	618	5322247	11.61
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2019"	"2019"	609	5379563	11.32
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"	"2020 "	"2020"	660	5426646	12.16
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"	"Male"	"M"			6542	55823639	11.72
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"25-34 years"	"25-34"					9948	111323422	8.94
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2010"	"2010"	927	5462619	16.97
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2011"	"2011"	914	5381165	16.99
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2012"	"2012"	904	5338615	16.93
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2013"	"2013"	881	5291705	16.65
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2014"	"2014"	867	5289392	16.39
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2015"	"2015"	878	5281138	16.63
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2016"	"2016"	900	5257665	17.12
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2017"	"2017"	900	5310265	16.95
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2018"	"2018"	893	5366900	16.64
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2019"	"2019"	930	5427821	17.13
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"	"2020 "	"2020"	1077	5501886	19.58
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Female"	"F"			10071	58909171	17.10
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2010"	"2010"	1946	5254020	37.04
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2011"	"2011"	1889	5181287	36.46
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2012"	"2012"	1884	5147147	36.60
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2013"	"2013"	1857	5112900	36.32
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2014"	"2014"	1772	5112873	34.66
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2015"	"2015"	1846	5116017	36.08
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2016"	"2016"	1876	5101906	36.77
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2017"	"2017"	1851	5170558	35.80
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2018"	"2018"	1855	5237135	35.42
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2019"	"2019"	1899	5304562	35.80
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"	"2020 "	"2020"	2126	5389801	39.44
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"	"Male"	"M"			20801	57128206	36.41
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"35-44 years"	"35-44"					30872	116037377	26.61
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2010"	"2010"	2855	6045760	47.22
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2011"	"2011"	2775	6043604	45.92
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2012"	"2012"	2783	6012453	46.29
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2013"	"2013"	2762	5960495	46.34
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2014"	"2014"	2761	5931817	46.55
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2015"	"2015"	2775	5908926	46.96
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2016"	"2016"	2754	5863388	46.97
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2017"	"2017"	2636	5814452	45.34
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2018"	"2018"	2620	5711050	45.88
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2019"	"2019"	2481	5604608	44.27
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"	"2020 "	"2020"	2765	5533584	49.97
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Female"	"F"			29967	64430137	46.51
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2010"	"2010"	6511	5803591	112.19
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2011"	"2011"	6541	5801606	112.74
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2012"	"2012"	6413	5770083	111.14
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2013"	"2013"	6333	5718919	110.74
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2014"	"2014"	6241	5692620	109.63
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2015"	"2015"	6159	5671979	108.59
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2016"	"2016"	6178	5632647	109.68
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2017"	"2017"	6034	5588418	107.97
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2018"	"2018"	5823	5492910	106.01
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2019"	"2019"	5783	5399806	107.10
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"	"2020 "	"2020"	6388	5341479	119.59
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"	"Male"	"M"			68404	61914058	110.48
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"45-54 years"	"45-54"					98371	126344195	77.86
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2010"	"2010"	5632	4703459	119.74
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2011"	"2011"	5743	4929590	116.50
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2012"	"2012"	5895	5012192	117.61
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2013"	"2013"	5787	5125681	112.90
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2014"	"2014"	6054	5248796	115.34
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2015"	"2015"	6436	5378218	119.67
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2016"	"2016"	6545	5484308	119.34
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2017"	"2017"	6771	5586993	121.19
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2018"	"2018"	6750	5654178	119.38
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2019"	"2019"	6862	5711502	120.14
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"	"2020 "	"2020"	7291	5736025	127.11
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Female"	"F"			69766	58570942	119.11
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2010"	"2010"	12011	4375219	274.52
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2011"	"2011"	12201	4587424	265.97
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2012"	"2012"	12415	4665896	266.08
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2013"	"2013"	12777	4776336	267.51
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2014"	"2014"	13194	4897939	269.38
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2015"	"2015"	13462	5029458	267.66
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2016"	"2016"	13716	5134045	267.16
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2017"	"2017"	13975	5235563	266.92
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2018"	"2018"	14578	5302135	274.95
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2019"	"2019"	14269	5362106	266.11
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"	"2020 "	"2020"	15921	5392344	295.25
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"	"Male"	"M"			148519	54758465	271.23
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"55-64 years"	"55-64"					218285	113329407	192.61
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2010"	"2010"	9335	2754006	338.96
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2011"	"2011"	9501	2870813	330.95
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2012"	"2012"	9852	3091146	318.72
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2013"	"2013"	10351	3270815	316.47
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2014"	"2014"	10736	3443875	311.74
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2015"	"2015"	11415	3607909	316.39
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2016"	"2016"	11942	3765681	317.13
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2017"	"2017"	12469	3906042	319.22
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2018"	"2018"	12587	4018039	313.26
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2019"	"2019"	13100	4158972	314.98
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"	"2020 "	"2020"	14185	4317606	328.54
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Female"	"F"			125473	39204904	320.04
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2010"	"2010"	14763	2392150	617.14
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2011"	"2011"	15027	2504160	600.08
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2012"	"2012"	15806	2706249	584.06
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2013"	"2013"	16592	2869384	578.24
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2014"	"2014"	17490	3012862	580.51
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2015"	"2015"	18467	3154895	585.34
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2016"	"2016"	19206	3285712	584.53
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2017"	"2017"	20485	3406319	601.38
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2018"	"2018"	20890	3499702	596.91
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2019"	"2019"	21350	3621448	589.54
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"	"2020 "	"2020"	23352	3751767	622.43
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"	"Male"	"M"			203428	34204648	594.74
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"65-74 years"	"65-74"					328901	73409552	448.04
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2010"	"2010"	23065	1770914	1302.43
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2011"	"2011"	22363	1777853	1257.87
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2012"	"2012"	21544	1790403	1203.30
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2013"	"2013"	21219	1810715	1171.86
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2014"	"2014"	21318	1843509	1156.38
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2015"	"2015"	21908	1877317	1166.98
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2016"	"2016"	21426	1927264	1111.73
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2017"	"2017"	21816	1992577	1094.86
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2018"	"2018"	22221	2096958	1059.68
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2019"	"2019"	23201	2188686	1060.04
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"	"2020 "	"2020"	24114	2268009	1063.22
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Female"	"F"			244195	21344205	1144.08
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2010"	"2010"	23284	1271138	1831.74
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2011"	"2011"	23014	1296428	1775.19
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2012"	"2012"	22587	1317758	1714.05
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2013"	"2013"	22898	1347336	1699.50
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2014"	"2014"	23150	1384528	1672.05
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2015"	"2015"	23411	1421271	1647.19
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2016"	"2016"	23811	1467224	1622.86
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2017"	"2017"	24674	1529132	1613.60
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2018"	"2018"	25665	1620181	1584.08
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2019"	"2019"	26021	1692839	1537.12
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"	"2020 "	"2020"	28063	1757802	1596.48
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"	"Male"	"M"			266578	16105637	1655.18
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"75-84 years"	"75-84"					510773	37449842	1363.89
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2010"	"2010"	48308	876197	5513.37
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2011"	"2011"	48154	917480	5248.51
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2012"	"2012"	48439	942196	5141.07
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2013"	"2013"	48918	968424	5051.30
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2014"	"2014"	49307	987778	4991.71
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2015"	"2015"	52054	1006064	5174.02
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2016"	"2016"	51749	1021924	5063.88
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2017"	"2017"	52245	1019427	5124.94
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2018"	"2018"	52250	1029930	5073.16
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2019"	"2019"	52094	1034999	5033.24
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"	"2020 "	"2020"	52876	1042318	5072.92
"Total"	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Female"	"F"			556394	10846737	5129.60
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2010"	"2010"	26051	420408	6196.60
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2011"	"2011"	26476	447990	5909.95
	"Large Fringe Metro"	"2"	"Diseases of the circulatory system"	"I00-I99"	"85+ years"	"85+"	"Male"	"M"	"2012"	"2012"	27176	466919	5820.28
